city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Port Elizabeth,ZA,2023-01-12 14:57:32,-33.918,25.5701,304.87,90,78,8.23
165,Tyup,KG,2023-01-12 14:57:32,42.7276,78.3648,252.87,76,25,3.78
166,Srednekolymsk,RU,2023-01-12 14:57:32,67.45,153.6833,240.11,99,100,2.85
167,Boa Vista,BR,2023-01-12 14:57:33,2.8197,-60.6733,302.14,61,75,6.69
168,Sinegorye,RU,2023-01-12 14:57:33,62.0788,150.477,237.14,88,99,0.49
169,Bambous Virieux,MU,2023-01-12 14:57:33,-20.3428,57.7575,300.29,65,75,4.63
170,Barrow,US,2023-01-12 14:57:34,71.2906,-156.7887,254.16,71,100,14.4
171,Sungaipenuh,ID,2023-01-12 14:57:34,-2.0833,101.3833,291.54,98,100,0.42
172,Christchurch,NZ,2023-01-12 14:57:17,-43.5333,172.6333,287.26,77,100,1.03
173,Santarem,BR,2023-01-12 14:57:35,-2.4431,-54.7083,302.22,84,20,5.66
174,Poum,NC,2023-01-12 14:58:35,-20.2333,164.0167,298.66,74,8,4.08
175,Aguimes,ES,2023-01-12 14:57:48,27.9054,-15.4461,294.07,83,75,9.26
176,Aykhal,RU,2023-01-12 14:58:36,66.0,111.5,234.6,96,100,3.98
177,Yulara,AU,2023-01-12 14:58:36,-25.2406,130.9889,302.25,34,47,3.79
178,Raudeberg,NO,2023-01-12 14:58:36,61.9875,5.1352,277.52,11,100,4.34
179,Huanren,CN,2023-01-12 14:58:37,41.2647,125.3667,272.14,89,100,0.92
180,Karasjok,NO,2023-01-12 14:58:37,69.4719,25.5112,273.81,94,100,6.68
181,Yeppoon,AU,2023-01-12 14:58:37,-23.1333,150.7333,296.03,72,100,5.97
182,Jamestown,US,2023-01-12 14:58:38,42.097,-79.2353,278.55,58,100,1.34
183,Ugoofaaru,MV,2023-01-12 14:58:38,5.6667,73.0,299.75,64,100,5.82
184,Santa Isabel Do Rio Negro,BR,2023-01-12 14:58:38,-0.4139,-65.0192,304.76,53,31,2.2
185,Petatlan,MX,2023-01-12 14:58:39,17.5167,-101.2667,298.87,55,0,0.65
186,Dikson,RU,2023-01-12 14:58:39,73.5069,80.5464,244.33,91,100,4.8
187,Ucluelet,CA,2023-01-12 14:58:40,48.9329,-125.5528,283.2,92,100,2.24
188,Pangai,TO,2023-01-12 14:58:40,-19.8,-174.35,300.4,83,95,3.91
189,Pringsewu,ID,2023-01-12 14:58:40,-5.3582,104.9744,296.9,90,75,2.33
190,Hisor,TJ,2023-01-12 14:58:41,38.525,68.5512,260.01,90,91,1.37
191,Sovetskaya Gavan,RU,2023-01-12 14:58:41,48.9723,140.2878,259.67,95,100,0.8
192,Hovd,MN,2023-01-12 14:58:41,48.0056,91.6419,250.16,73,1,1.56
193,Kaka,TM,2023-01-12 14:58:42,37.3482,59.6143,262.14,77,3,2.59
194,Zarichne,UA,2023-01-12 14:58:42,51.8126,26.129,275.64,98,100,2.98
195,Iqaluit,CA,2023-01-12 14:58:42,63.7506,-68.5145,243.0,74,75,1.03
196,Belaya Kholunitsa,RU,2023-01-12 14:58:43,58.84,50.8528,262.2,93,100,4.71
197,Port Pirie,AU,2023-01-12 14:58:43,-33.1833,138.0167,300.1,27,3,2.85
198,At-Bashi,KG,2023-01-12 14:58:43,41.1702,75.8106,244.92,77,19,1.29
199,Chissamba,AO,2023-01-12 14:58:44,-12.1667,17.3333,295.25,86,76,2.46
200,Ryotsu,JP,2023-01-12 14:58:44,38.0833,138.4333,283.19,80,18,3.9
201,Teeli,RU,2023-01-12 14:58:44,51.0333,90.2333,241.34,75,2,1.43
202,Anadyr,RU,2023-01-12 14:58:45,64.75,177.4833,250.43,83,75,4.0
203,Hasaki,JP,2023-01-12 14:58:45,35.7333,140.8333,272.37,59,31,3.35
204,San Luis Rio Colorado,MX,2023-01-12 14:57:01,32.4631,-114.7767,284.76,41,70,3.25
205,Bastia,FR,2023-01-12 14:58:46,42.6667,9.3333,288.04,64,20,3.09
206,Akniste,LV,2023-01-12 14:58:46,56.1615,25.7478,275.27,92,100,6.08
