city_id,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
294,Sawtell,AU,81.19,-30.3833,153.1,clear sky,Boambee Bay Resort
295,San Juan,AR,80.2,-31.5375,-68.5364,broken clouds,Hotel San Francisco
296,Moose Factory,CA,32.0,51.2585,-80.6094,broken clouds,Cree Village Ecolodge
298,Solnechnyy,RU,-7.38,50.7214,136.6319,scattered clouds,Заря
300,Mount Gambier,AU,78.42,-37.8333,140.7667,clear sky,The Old Mount Gambier Gaol
302,Craig,US,33.75,40.5153,-107.5464,overcast clouds,Quality Inn & Suites
306,Almeirim,BR,72.39,-1.5233,-52.5817,light rain,Kapejar Hotel
308,Moyale,KE,66.52,3.5167,39.0584,clear sky,Nicest
309,Ambilobe,MG,72.57,-13.2,49.05,overcast clouds,Hôtel National
311,Port Washington,US,36.86,40.8257,-73.6982,scattered clouds,Fathoms Hotel & Marina
312,Padang,ID,77.05,-0.9492,100.3543,overcast clouds,losmen Surya
313,Sitka,US,42.69,57.0531,-135.33,mist,Aspen Suites Hotel
315,Fomboni,KM,81.61,-12.28,43.7425,broken clouds,Mohéli La Plage
316,Christchurch,NZ,76.48,-43.5333,172.6333,clear sky,Ibis Hotel Christchurch
317,Chatellerault,FR,46.56,46.8,0.5333,light rain,Ibis
318,Akyab,MM,66.69,20.15,92.9,clear sky,Yuzana Aung Motel 1
322,Vuktyl,RU,21.72,63.8567,57.3094,overcast clouds,Вуктыл
323,Makakilo City,US,77.99,21.3469,-158.0858,overcast clouds,Embassy Suites by Hilton Oahu Kapolei
327,Bielsko-Biala,PL,35.92,49.8224,19.0469,overcast clouds,Hotel Prezydent
328,Khandyga,RU,-46.64,62.6667,135.6,overcast clouds,Апельсин
329,Cardston,CA,34.09,49.2,-113.3019,overcast clouds,South Country Inn
